url,dialogue_snippet
http://www.dailyscript.com/scripts/American_Outlaws.html,
http://www.scifiscripts.com/scripts/Trek/Star_Trek_X.htm,
http://www.dailyscript.com/scripts/anniversaryparty.html,
http://www.dailyscript.com/scripts/Scary+Movie+2.txt,
http://www.aellea.com/script/devilanddanielwebster.txt,Error: Response code 403
http://www.dailyscript.com/scripts/Basic.txt,
http://www.horrorlair.com/scripts/hellraiser_hellseeker_orig.html,Error: Response code 403
http://www.dailyscript.com/scripts/Slash.txt,
http://www.dailyscript.com/scripts/final_destination2.html,
http://www.dailyscript.com/scripts/lost-in-translation-script.html,
http://www.dailyscript.com/scripts/The_Jacket.html,
http://www.dailyscript.com/scripts/somethingborrowed.html,
http://www.dailyscript.com/scripts/crazy_love.html,
http://www.dailyscript.com/scripts/domino.html,
http://www.horrorlair.com/scripts/legend.txt,Error: Response code 403
